ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt5668390,A Call from the Past,2016,76 min,-,-,"Drama, Fantasy, Mystery            ",hindi
tt7612842,A Daughter's Tale PANKH,2017,145 min,6.3,9,Drama            ,hindi
tt0988655,A Flat,2010,103 min,4.5,202,"Drama, Horror, Romance            ",hindi
tt5235880,A Flying Jatt,2016,151 min,3,"3,993","Action, Adventure, Comedy            ",hindi
tt11079552,A Game Called Relationship,2020,109 min,5.7,177,"Comedy, Romance            ",hindi
tt5613834,A Gentleman,2017,145 min,6.2,"5,058","Action, Comedy            ",hindi
tt10465524,A Gift of Love: Sifar,2019,95 min,8,29,"Drama, Romance            ",hindi
tt3056820,A Journey of Samyak Buddha,2013,127 min,7.1,16,Drama            ,hindi
tt4479178,A New Love Ishtory,2013,140 min,6,80,Romance            ,hindi
tt12153332,A Rape Song,2019,75 min,-,-,"Crime, Drama            ",hindi
tt5780570,A Scandall,2016,112 min,3.1,140,Thriller            ,hindi
tt0444767,A Sublime Love Story: Barsaat,2005,143 min,3.8,617,"Drama, Romance            ",hindi
tt9337544,A Thin Line,2019,104 min,7.9,24,Drama            ,hindi
tt7547222,A Twist of Date,2017,110 min,-,-,"Comedy, Horror, Mystery            ",hindi
tt1280558,A Wednesday,2008,104 min,8.1,"74,422","Action, Crime, Drama            ",hindi
tt7504214,AA BB KK,2018,121 min,8.3,246,Drama            ,hindi
-,Aa Bhi Ja O Piya,2021,140 min,-,-,"Family, Romance            ",hindi
tt1372681,Aa Dekhen Zara,2009,117 min,5,861,"Action, Sci-Fi, Thriller            ",hindi
tt5896934,Aa Gaya Hero,2017,123 min,2.7,335,Action            ,hindi
tt5326616,Aa Jao Please,2016,120 min,6.8,16,Drama            ,hindi
tt1137434,Aabra Ka Daabra,2004,144 min,2.3,254,Fantasy            ,hindi
tt7604032,Aadamkhor,2018,72 min,7.7,148,Horror            ,hindi
tt10500478,Aadhaar,2019,107 min,7.3,61,Drama            ,hindi
tt1500682,Aadmi Ki Aurat Aur Anya Kahaniya,2009,78 min,7.6,61,Drama            ,hindi
tt3850234,Aag Ke Sholay,2001,139 min,-,-,Action            ,hindi
tt2200258,Aage Maut Peeche Maut,2001,78 min,3.5,6,Horror            ,hindi
tt1479667,Aagey Se Right,2009,117 min,5,378,"Comedy, Crime, Drama            ",hindi
tt0254927,Aaghaaz,2000,153 min,4.1,274,"Action, Crime, Drama            ",hindi
tt10744836,Aahvaan,2020,114 min,-,-,"Comedy, Horror            ",hindi
tt12788692,Aaina,2019,60 min,-,-,Horror            ,hindi
tt2849506,Aaiyash: The Desire,2004,123 min,-,-,"Drama, Romance            ",hindi
tt0426863,Aaj Ka Andha Kanoon,2003,46 min,3.3,14,Action            ,hindi
tt0437058,Aaj Ka Ravan,2000,128 min,4.4,29,"Action, Crime            ",hindi
tt0986213,Aaja Nachle,2007,137 min,6.2,"2,968","Drama, Family, Music            ",hindi
tt10092762,Aakhri Pal,2015,93 min,-,-,Drama            ,hindi
tt1708453,Aakrosh,2010,115 min,7,"3,425","Action, Crime, Thriller            ",hindi
tt2243336,Aalaap,2012,116 min,5.4,26,Sci-Fi            ,hindi
tt0305173,Aamdani Atthanni Kharcha Rupaiya,2001,150 min,4.7,"1,204","Comedy, Drama, Family            ",hindi
tt1241195,Aamir,2008,99 min,7.7,"10,746","Action, Crime, Drama            ",hindi
tt6414724,Aamna Saamna,2013,62 min,-,-,Animation            ,hindi
tt0363409,Aan: Men at Work,2004,149 min,5.7,"2,876","Action, Crime, Drama            ",hindi
tt0389726,Aanch,2003,160 min,6.2,98,Drama            ,hindi
tt11664616,Aani Maani,2019,94 min,6.6,15,Drama            ,hindi
tt0306434,Aankhen,2002,165 min,7.4,"12,447","Crime, Drama, Thriller            ",hindi
tt1538210,Aao Wish Karein,2009,140 min,5,580,"Comedy, Family, Fantasy            ",hindi
tt0810058,Aap Ki Khatir,2006,122 min,3.5,855,"Comedy, Romance            ",hindi
tt0247911,Aap Mujhe Achche Lagne Lage,2002,180 min,3.1,"2,330","Action, Drama, Romance            ",hindi
tt0348521,Aapko Pehle Bhi Kahin Dekha Hai,2003,145 min,4.6,267,"Action, Comedy, Drama            ",hindi
tt1848771,Aarakshan,2011,164 min,6.2,"5,109","Drama, Thriller            ",hindi
tt1227524,Aashayein,2010,120 min,7.1,"1,249",Drama            ,hindi
tt0273406,Aashiq,2001,160 min,3.8,398,"Action, Drama, Romance            ",hindi
tt0477253,Aashiq Banaya Aapne: Love Takes Over,2005,115 min,4.3,"1,550","Drama, Romance, Thriller            ",hindi
tt2203308,Aashiqui 2,2013,132 min,7,"26,967","Drama, Music, Musical            ",hindi
tt1814619,Aashiqui.In,2011,109 min,3.7,61,"Drama, Romance            ",hindi
tt2949654,Aasma,2018,105 min,4.6,7,"Action, Crime, Drama            ",hindi
tt1252594,Aasma: The Sky Is the Limit,2009,240 min,3.8,46,Drama            ,hindi
tt11508226,Aasra,II 2019,95 min,-,-,"Drama, Family, Romance            ",hindi
tt2389974,Aatma,2013,94 min,3.8,611,"Drama, Horror, Thriller            ",hindi
tt0989605,Aatma,2006,107 min,4.2,77,"Crime, Drama, Horror            ",hindi
tt4954472,Aatma Aur Parmatma,2004,109 min,-,-,Horror            ,hindi
